[5.062s][info][gc,task     ] GC(9) Using 13 workers of 13 for evacuation
[5.078s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[5.078s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.0ms
[5.078s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 15.1ms
[5.078s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.4ms
[5.078s][info][gc,phases   ] GC(9)   Other: 0.1ms
[5.078s][info][gc,heap     ] GC(9) Eden regions: 49->0(49)
[5.078s][info][gc,heap     ] GC(9) Survivor regions: 8->8(8)
[5.078s][info][gc,heap     ] GC(9) Old regions: 81->90
[5.078s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[5.078s][info][gc,metaspace] GC(9) Metaspace: 7745K(8064K)->7745K(8064K) NonClass: 6933K(7104K)->6933K(7104K) Class: 812K(960K)->812K(960K)
[5.078s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 1097M->782M(9216M) 15.982ms
[5.078s][info][gc,cpu      ] GC(9) User=0.06s Sys=0.02s Real=0.02s
[5.228s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[5.228s][info][gc,task     ] GC(10) Using 13 workers of 13 for evacuation
[5.245s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.2ms
[5.245s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.1ms
[5.245s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 15.8ms
[5.245s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.5ms
[5.245s][info][gc,phases   ] GC(10)   Other: 0.0ms
[5.245s][info][gc,heap     ] GC(10) Eden regions: 49->0(49)
[5.245s][info][gc,heap     ] GC(10) Survivor regions: 8->8(8)
[5.245s][info][gc,heap     ] GC(10) Old regions: 90->100
[5.245s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[5.245s][info][gc,metaspace] GC(10) Metaspace: 7746K(8064K)->7746K(8064K) NonClass: 6934K(7104K)->6934K(7104K) Class: 812K(960K)->812K(960K)
[5.245s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1174M->861M(9216M) 16.867ms
[5.245s][info][gc,cpu      ] GC(10) User=0.08s Sys=0.03s Real=0.02s
