[5.638s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.1ms
[5.638s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 27.6ms
[5.638s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.7ms
[5.638s][info][gc,phases   ] GC(12)   Other: 0.1ms
[5.638s][info][gc,heap     ] GC(12) Eden regions: 170->0(211)
[5.638s][info][gc,heap     ] GC(12) Survivor regions: 20->24(24)
[5.638s][info][gc,heap     ] GC(12) Old regions: 200->230
[5.638s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[5.638s][info][gc,metaspace] GC(12) Metaspace: 7747K(8064K)->7747K(8064K) NonClass: 6935K(7104K)->6935K(7104K) Class: 811K(960K)->811K(960K)
[5.638s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1556M->1014M(7168M) 29.042ms
[5.638s][info][gc,cpu      ] GC(12) User=0.03s Sys=0.05s Real=0.03s
[5.989s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[5.990s][info][gc,task     ] GC(13) Using 13 workers of 13 for evacuation
[6.024s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.2ms
[6.024s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.1ms
[6.024s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 33.9ms
[6.024s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.4ms
[6.024s][info][gc,phases   ] GC(13)   Other: 0.1ms
[6.024s][info][gc,heap     ] GC(13) Eden regions: 211->0(246)
[6.024s][info][gc,heap     ] GC(13) Survivor regions: 24->30(30)
[6.024s][info][gc,heap     ] GC(13) Old regions: 230->267
[6.024s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[6.024s][info][gc,metaspace] GC(13) Metaspace: 7747K(8064K)->7747K(8064K) NonClass: 6935K(7104K)->6935K(7104K) Class: 811K(960K)->811K(960K)
[6.024s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1858M->1184M(7168M) 34.873ms
[6.024s][info][gc,cpu      ] GC(13) User=0.08s Sys=0.09s Real=0.03s
[6.421s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[6.421s][info][gc,task     ] GC(14) Using 13 workers of 13 for evacuation
[6.465s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.2ms
[6.465s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.2ms
[6.465s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 42.4ms
[6.465s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.5ms
[6.465s][info][gc,phases   ] GC(14)   Other: 0.1ms
[6.465s][info][gc,heap     ] GC(14) Eden regions: 246->0(311)
[6.465s][info][gc,heap     ] GC(14) Survivor regions: 30->35(35)
[6.465s][info][gc,heap     ] GC(14) Old regions: 267->311
[6.465s][info][gc,heap     ] GC(14) Humongous regions: 0->0
[6.465s][info][gc,metaspace] GC(14) Metaspace: 7752K(8064K)->7752K(8064K) NonClass: 6940K(7104K)->6940K(7104K) Class: 811K(960K)->811K(960K)
[6.465s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 2168M->1383M(7168M) 43.644ms
[6.465s][info][gc,cpu      ] GC(14) User=0.09s Sys=0.11s Real=0.04s
[6.987s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[6.987s][info][gc,task     ] GC(15) Using 13 workers of 13 for evacuation
[7.036s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
[7.036s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.1ms
[7.036s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 48.2ms
[7.036s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.6ms
[7.036s][info][gc,phases   ] GC(15)   Other: 0.1ms
[7.036s][info][gc,heap     ] GC(15) Eden regions: 311->0(328)
[7.036s][info][gc,heap     ] GC(15) Survivor regions: 35->44(44)
[7.036s][info][gc,heap     ] GC(15) Old regions: 311->365
[7.036s][info][gc,heap     ] GC(15) Humongous regions: 0->0
[7.036s][info][gc,metaspace] GC(15) Metaspace: 7752K(8064K)->7752K(8064K) NonClass: 6940K(7104K)->6940K(7104K) Class: 811K(960K)->811K(960K)
[7.036s][info][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 2627M->1632M(7168M) 49.335ms
[7.036s][info][gc,cpu      ] GC(15) User=0.20s Sys=0.28s Real=0.05s
[7.561s][info][gc,start    ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[7.561s][info][gc,task     ] GC(16) Using 13 workers of 13 for evacuation
[7.615s][info][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.2ms
[7.615s][info][gc,phases   ] GC(16)   Merge Heap Roots: 0.1ms
[7.615s][info][gc,phases   ] GC(16)   Evacuate Collection Set: 53.4ms
[7.615s][info][gc,phases   ] GC(16)   Post Evacuate Collection Set: 0.5ms
[7.615s][info][gc,phases   ] GC(16)   Other: 0.1ms
[7.615s][info][gc,heap     ] GC(16) Eden regions: 328->0(376)
[7.615s][info][gc,heap     ] GC(16) Survivor regions: 44->47(47)
[7.615s][info][gc,heap     ] GC(16) Old regions: 365->427
[7.615s][info][gc,heap     ] GC(16) Humongous regions: 0->0
[7.615s][info][gc,metaspace] GC(16) Metaspace: 7765K(8064K)->7765K(8064K) NonClass: 6954K(7104K)->6954K(7104K) Class: 811K(960K)->811K(960K)
[7.615s][info][gc          ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 2944M->1892M(7168M) 54.459ms
[7.615s][info][gc,cpu      ] GC(16) User=0.09s Sys=0.41s Real=0.06s
[8.514s][info][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[8.514s][info][gc,task     ] GC(17) Using 13 workers of 13 for evacuation
[8.585s][info][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.2ms
[8.585s][info][gc,phases   ] GC(17)   Merge Heap Roots: 0.1ms
[8.585s][info][gc,phases   ] GC(17)   Evacuate Collection Set: 70.7ms
[8.585s][info][gc,phases   ] GC(17)   Post Evacuate Collection Set: 0.5ms
[8.586s][info][gc,phases   ] GC(17)   Other: 0.1ms
[8.586s][info][gc,heap     ] GC(17) Eden regions: 376->0(418)
[8.586s][info][gc,heap     ] GC(17) Survivor regions: 47->53(53)
[8.586s][info][gc,heap     ] GC(17) Old regions: 427->493
[8.586s][info][gc,heap     ] GC(17) Humongous regions: 0->0
[8.586s][info][gc,metaspace] GC(17) Metaspace: 9887K(10240K)->9887K(10240K) NonClass: 8885K(9088K)->8885K(9088K) Class: 1002K(1152K)->1002K(1152K)
[8.586s][info][gc          ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 3396M->2183M(7168M) 71.767ms
[8.586s][info][gc,cpu      ] GC(17) User=0.14s Sys=0.62s Real=0.07s
[9.251s][info][gc,start    ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[9.251s][info][gc,task     ] GC(18) Using 13 workers of 13 for evacuation
[9.332s][info][gc,phases   ] GC(18)   Pre Evacuate Collection Set: 0.2ms
[9.332s][info][gc,phases   ] GC(18)   Merge Heap Roots: 0.1ms
[9.332s][info][gc,phases   ] GC(18)   Evacuate Collection Set: 80.2ms
[9.332s][info][gc,phases   ] GC(18)   Post Evacuate Collection Set: 0.6ms
[9.332s][info][gc,phases   ] GC(18)   Other: 0.1ms
[9.332s][info][gc,heap     ] GC(18) Eden regions: 418->0(464)
[9.332s][info][gc,heap     ] GC(18) Survivor regions: 53->59(59)
[9.332s][info][gc,heap     ] GC(18) Old regions: 493->569
[9.332s][info][gc,heap     ] GC(18) Humongous regions: 0->0
[9.332s][info][gc,metaspace] GC(18) Metaspace: 9988K(10304K)->9988K(10304K) NonClass: 8962K(9152K)->8962K(9152K) Class: 1026K(1152K)->1026K(1152K)
[9.332s][info][gc          ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 3855M->2511M(7168M) 81.387ms
[9.332s][info][gc,cpu      ] GC(18) User=0.20s Sys=0.80s Real=0.08s
[10.101s][info][gc,start    ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[10.101s][info][gc,task     ] GC(19) Using 13 workers of 13 for evacuation
[10.182s][info][gc,phases   ] GC(19)   Pre Evacuate Collection Set: 0.2ms
[10.182s][info][gc,phases   ] GC(19)   Merge Heap Roots: 0.1ms
[10.182s][info][gc,phases   ] GC(19)   Evacuate Collection Set: 80.6ms
[10.182s][info][gc,phases   ] GC(19)   Post Evacuate Collection Set: 0.5ms
[10.182s][info][gc,phases   ] GC(19)   Other: 0.1ms
[10.182s][info][gc,heap     ] GC(19) Eden regions: 464->0(494)
[10.182s][info][gc,heap     ] GC(19) Survivor regions: 59->66(66)
[10.182s][info][gc,heap     ] GC(19) Old regions: 569->653
[10.182s][info][gc,heap     ] GC(19) Humongous regions: 0->0
[10.182s][info][gc,metaspace] GC(19) Metaspace: 9988K(10304K)->9988K(10304K) NonClass: 8962K(9152K)->8962K(9152K) Class: 1026K(1152K)->1026K(1152K)
[10.182s][info][gc          ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 4367M->2874M(7168M) 81.749ms
[10.182s][info][gc,cpu      ] GC(19) User=0.22s Sys=0.64s Real=0.08s
[10.972s][info][gc,start    ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[10.972s][info][gc,task     ] GC(20) Using 13 workers of 13 for evacuation
[11.041s][info][gc,phases   ] GC(20)   Pre Evacuate Collection Set: 0.3ms
[11.042s][info][gc,phases   ] GC(20)   Merge Heap Roots: 0.1ms
[11.042s][info][gc,phases   ] GC(20)   Evacuate Collection Set: 68.4ms
[11.042s][info][gc,phases   ] GC(20)   Post Evacuate Collection Set: 0.6ms
[11.042s][info][gc,phases   ] GC(20)   Other: 0.1ms
[11.042s][info][gc,heap     ] GC(20) Eden regions: 494->0(716)
[11.042s][info][gc,heap     ] GC(20) Survivor regions: 66->70(70)
[11.042s][info][gc,heap     ] GC(20) Old regions: 653->747
[11.042s][info][gc,heap     ] GC(20) Humongous regions: 0->0
[11.042s][info][gc,metaspace] GC(20) Metaspace: 10022K(10368K)->10022K(10368K) NonClass: 8984K(9216K)->8984K(9216K) Class: 1037K(1152K)->1037K(1152K)
[11.042s][info][gc          ] GC(20) Pause Young (Normal) (G1 Evacuation Pause) 4850M->3266M(7168M) 69.602ms
[11.042s][info][gc,cpu      ] GC(20) User=0.28s Sys=0.31s Real=0.07s
[12.283s][info][gc,start    ] GC(21) Pause Young (Normal) (G1 Evacuation Pause)
[12.283s][info][gc,task     ] GC(21) Using 13 workers of 13 for evacuation
[12.396s][info][gc,phases   ] GC(21)   Pre Evacuate Collection Set: 0.3ms
[12.396s][info][gc,phases   ] GC(21)   Merge Heap Roots: 0.2ms
[12.396s][info][gc,phases   ] GC(21)   Evacuate Collection Set: 111.7ms
[12.396s][info][gc,phases   ] GC(21)   Post Evacuate Collection Set: 0.6ms
[12.396s][info][gc,phases   ] GC(21)   Other: 0.1ms
[12.396s][info][gc,heap     ] GC(21) Eden regions: 716->0(549)
[12.396s][info][gc,heap     ] GC(21) Survivor regions: 70->99(99)
[12.396s][info][gc,heap     ] GC(21) Old regions: 747->857
[12.396s][info][gc,heap     ] GC(21) Humongous regions: 0->0
[12.396s][info][gc,metaspace] GC(21) Metaspace: 10043K(10368K)->10043K(10368K) NonClass: 9005K(9216K)->9005K(9216K) Class: 1037K(1152K)->1037K(1152K)
[12.396s][info][gc          ] GC(21) Pause Young (Normal) (G1 Evacuation Pause) 6130M->3820M(7168M) 113.085ms
[12.396s][info][gc,cpu      ] GC(21) User=0.39s Sys=0.92s Real=0.11s
[13.230s][info][gc,start    ] GC(22) Pause Young (Concurrent Start) (G1 Evacuation Pause)
